Qty,Value,Device,Package,Parts,Links
1,,PUSHBUTTON,BTN_CK_KSS,SW1,https://www.digikey.fr/product-detail/fr/omron-electronics-inc-emc-div/B3U-3000P/SW1022CT-ND/1534359
1,100n,C-EUC0201,C0201,C1,https://www.digikey.fr/product-detail/fr/samsung-electro-mechanics/CL03A104KP3NNNC/1276-1115-1-ND/3889201
1,ATTINYX5V-LEFT,ATTINYX5V-LEFT,1/4-QFN20,U1,https://www.digikey.fr/product-detail/fr/microchip-technology/ATTINY85V-15MT/1611-ATTINY85V-15MTCT-ND/6833275
0,ATTINYX5V-RIGHT,ATTINYX5V-RIGHT,1/4-QFN20,U2,/
2,BAT+,BAT+,BAT+,"U$1, U$2",https://www.ebay.fr/itm/Lot-de-piles-boutons-auditives-Rayovac-appareils-auditifs-A10-de-1-%C3%A0-60-piles/272609224796?ssPageName=STRK%3AMEBIDX%3AIT&var=571728723820&_trksid=p2057872.m2749.l2649
2,BAT-,BAT-,BAT-,"U$3, U$4",https://www.digikey.fr/product-detail/fr/te-connectivity-amp-connectors/1447360-8/A108284CT-ND/4022011
16,R0508-1/2,R0508-1/2,R0508-1/2,"R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28",https://www.digikey.fr/product-detail/fr/rohm-semiconductor/LTR10EZPF22R0/RHM1211CT-ND/4055428 
12,R0805-1/2,R0805-1/2,R0805-1/2,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12",https://www.digikey.fr/product-detail/fr/yageo/RC0805JR-070RL/311-0.0ARCT-ND/731163
1,TPTP06R,TPTP06R,TP06R,PAD,/
6,TPTP15R,TPTP15R,TP15R,"GND, MISO, MOSI, RST, SCK, VCC",https://www.digikey.fr/product-detail/fr/mill-max-manufacturing-corp/821-22-006-10-000101/ED8197-06-ND/1146513
8,,LEDS,,,https://www.digikey.fr/product-detail/fr/kingbright/APT1608LSECK-J3-PRV/754-1930-1-ND/5177460 
